Company,Score
안트로젠,99.95
한세실업,99.92
메디포스트,99.79
Naver,99.72
클리오,99.68
키이스트,99.68
한글과컴퓨터,99.51
데브시스터즈,99.33
알테오젠,99.27
하나투어,99.27
미스터블러,99.27
삼성바이오로직스,98.63
네오이뮨텍,98.59
쇼박스,98.49
하나금융지주,98.43
신한지주,98.31
KB금융,98.02
한미약품,98.01
영원무역,97.88
제넥신,97.87
와이지엔터테인먼트,97.57
우리금융지주,97.29
한국카본,97.05
인터로조,97.05
지놈앤컴퍼니,97.05
신세계,97.01
코오롱인더,97.01
메가스터디교육,96.86
삼양식품,96.86
BNK금융지주,96.83
한미사이언스,95.99
웹젠,95.99
카페24,95.99
위메이드,95.75
호텔신라,95.32
SK바이오팜,95.22
메드팩토,94.94
에코마케팅,94.94
롯데관광개발,94.64
프레스티지바이오파마,94.64
뷰웍스,94.64
뉴파워프라즈마,94.64
카카오,94.39
현대그린푸드,94.39
종근당,94.01
JB금융지주,93.81
엔씨소프트,93.69
오리온홀딩스,93.69
차바이오텍,92.95
영진약품,92.95
